"RelativePath","Source","Destination","Size","SHA256","Reason"
"debug.log","C:\Users\RD004\Documents\lab\emotion2vec\debug.log","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\debug.log","155","B8262DF57B5632009F8C43B1E75447A96BC29F71A5C2363479FAD24DB59DE0BB","Unrelated application error log"
"docs/reports/2026-06-07_vad_cleanup_report.md","C:\Users\RD004\Documents\lab\emotion2vec\docs\reports\2026-06-07_vad_cleanup_report.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\docs\reports\2026-06-07_vad_cleanup_report.md","2640","4D8C214E689EC7A8EF31182D3DDA103A6E317AF44464E1BAF180CFB4CA38590C","VAD-only cleanup report"
"notebooks/audio_to_emotion_vad.ipynb","C:\Users\RD004\Documents\lab\emotion2vec\notebooks\audio_to_emotion_vad.ipynb","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\notebooks\audio_to_emotion_vad.ipynb","12663","76DA3483BC292266DC5C023CA3FDF34272BFE38741B349D7E37C8A5027F61920","VAD-only notebook"
"REAL_EMOTION2VEC_SMOKE_TEST_JA.md","C:\Users\RD004\Documents\lab\emotion2vec\REAL_EMOTION2VEC_SMOKE_TEST_JA.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\REAL_EMOTION2VEC_SMOKE_TEST_JA.md","6086","53B6951305AAC6569E78DAF9C878B8BBD7C636B5E1775754CA420ED1DEBCF842","VAD-only real-encoder smoke guide"
"tests/execute_demo_notebook.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\execute_demo_notebook.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\execute_demo_notebook.py","1895","8F08C3053D044967B4B42764F95C5C6EB05A2C46266EA36B18D227979144F593","VAD-only notebook execution helper"
"tests/fixtures/vad_dummy/vad_labels_dummy.csv","C:\Users\RD004\Documents\lab\emotion2vec\tests\fixtures\vad_dummy\vad_labels_dummy.csv","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\fixtures\vad_dummy\vad_labels_dummy.csv","477","72AD3DFEBFF8EBBBEEF76FF55BF2BBC541CAC77BE94710A91F817BA9CC4DD640","VAD-only fixture labels; feature cache retained in place"
"tests/test_notebook_pipeline.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_notebook_pipeline.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_notebook_pipeline.py","8545","853260F1D08C0D92EF7CF9C406BC365168F3759B8AE825B79059DFFFB5714788","VAD-only test"
"tests/test_parallel_emotion_vad.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_parallel_emotion_vad.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_parallel_emotion_vad.py","10616","85DC6832EE3E2720AB5F3095E306BAAD783288EE1738696712030EEBD59C94B4","VAD-only test"
"tests/test_vad_downstream_data.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_data.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_data.py","11318","C70E20E52EDBDBAFEA56ABB1CB090E193176BAFD51D8376B2A7E859EC35CA516","VAD-only test"
"tests/test_vad_downstream_emotion_training.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_emotion_training.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_emotion_training.py","5801","87B3D8D7D97D321E4D208187BDE46A6F9821927A249544FD0473EC290A7C4F4C","VAD-only test"
"tests/test_vad_downstream_infer_vad_emotion.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_infer_vad_emotion.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_infer_vad_emotion.py","5321","A83DD4602E56D0D5C7FDBE1F6AC526C022EDFF25D17E8300DDFD5B273B6FD20C","VAD-only test"
"tests/test_vad_downstream_inference.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_inference.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_inference.py","13214","E5DD9DE716D4D22D75E4418AF5586DE450296C6C5AA55F5FDAB3EF9F5379254C","VAD-only test"
"tests/test_vad_downstream_model.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_model.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_model.py","6314","5D6F9D985BD9A4035119E9F1C2ED005E632B6A5433C6CE543B59F4314F92D261","VAD-only test"
"tests/test_vad_downstream_train_head.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_train_head.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_train_head.py","4114","64C13083363B299320646F7D582C5C73AF87406561EB24D084A3B60CF063092B","VAD-only test"
"tests/test_vad_downstream_train_vad_emotion.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_train_vad_emotion.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_train_vad_emotion.py","4418","63AC305BA55DCB109F31F292860608B3F4512FD3BB831921378B116A5AC6ED54","VAD-only test"
"tests/test_vad_downstream_training.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream_training.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream_training.py","7850","9F5ACA14DF34231139164CF04FA66ECF3A3FDF3D12D07BB0C6F7305622B4FD56","VAD-only test"
"tests/test_vad_downstream.py","C:\Users\RD004\Documents\lab\emotion2vec\tests\test_vad_downstream.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\tests\test_vad_downstream.py","2878","8AB0CD49392D59AEDF8502C8BD29FA93C99C6C669AAE2881635777A298E401D9","VAD-only test"
"vad_downstream/__init__.py","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__init__.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__init__.py","58","172096A7975B085BFAFFBCDE0716AED8B0ECB62A304EC6E6A5595895792E85F2","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/__init__.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\__init__.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\__init__.cpython-310.pyc","226","27284276AE5D3DFAAD1FC6A0B212C1FFD73DD8C1E0AABD9FF7BBEC5BE143A121","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/__init__.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\__init__.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\__init__.cpython-311.pyc","240","5B45A9D4E45D2ACA407B1AAE82973CFFA8D11EFA2189C17BBE456CA925AB512B","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/__init__.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\__init__.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\__init__.cpython-312.pyc","229","FBE2A2CF8B3A3C3DE8A540DC50B8C0ACCE12110F21CEBBB7AF72A9B6B95C8CB2","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/__init__.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\__init__.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\__init__.cpython-313.pyc","188","723DC5F9CBD01CCE6F7DCDBB6ADA4AFAFA515BB49D43A5096D1C2429AD33117B","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/data.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\data.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\data.cpython-310.pyc","25981","C2AA2BAB5CEC9464081CD1A6FB0152AEE5CEB3C16F822E018A35974E8F997241","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/data.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\data.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\data.cpython-311.pyc","52712","423800EE90006936735F770B01EEE4F3A394D33ECCD3CCF8EFC4D41CF53F2E76","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/data.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\data.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\data.cpython-312.pyc","41995","6CEA2BF5668F28B16C1E68273A6F1CB8214F6BCBBF44098D7AEDF33ECCB881AB","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/data.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\data.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\data.cpython-313.pyc","22268","155EBF4314CB47AA7D20B6DF62AC630EED61966BDC2417285F2391963E6E0F78","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/emotion_training.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\emotion_training.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\emotion_training.cpython-310.pyc","8352","5F77ED49CC27100DCDA924C29165CFF5CF572ED2C971659846C9D7142EFD831A","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/emotion_training.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\emotion_training.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\emotion_training.cpython-311.pyc","19015","608D5CDC5C01F40912E9206F130DFD8912878919D1E12AD6078A293275FFEE2F","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/emotion_training.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\emotion_training.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\emotion_training.cpython-312.pyc","15750","DDD63D4BBAD813B230309157D32D25F32CEE48CB9C6FAB79DA48D536A63E46A9","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/emotion_training.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\emotion_training.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\emotion_training.cpython-313.pyc","15633","293D8A8A557A315EDE2FA02BBDB7FF7AE988908C682FC3E5204B31AA76D0A31B","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_parallel_emotion_vad.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-310.pyc","5530","767B9BED4750AFDD31D00083547132801FB7B4A8BECE75F31D6AEAE64ED6ED00","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_parallel_emotion_vad.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-311.pyc","10519","A2C5A707CDA64D6CA53C26FC9013FEB072A102DCF9FE47AB57D2B3E560EB0622","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_parallel_emotion_vad.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-312.pyc","8398","FC3E279C1AE5B0C7E2CC30136097F9FA5102C77A8FA33FFE6EAE5C54BE931202","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_parallel_emotion_vad.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_parallel_emotion_vad.cpython-313.pyc","8414","A814774C4627E7FCCC015C98C951C972D03A35804C590B00107FF8A32F4E0FB8","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_vad_emotion.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_vad_emotion.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_vad_emotion.cpython-310.pyc","8391","277F91A2C773F17ED6D63697476FAA799960A61C67FA51610A1E7480DE52B879","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_vad_emotion.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_vad_emotion.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_vad_emotion.cpython-311.pyc","16329","625D4FEAF1CB7997AC71DB6C066F72A6AECE662F54E37ECDC7F196868D312280","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_vad_emotion.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_vad_emotion.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_vad_emotion.cpython-312.pyc","13168","A967563C6155FD3BC2C355DB1E05EC3D388392304E2634CA85799BCE1BC7B2EF","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/infer_vad_emotion.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\infer_vad_emotion.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\infer_vad_emotion.cpython-313.pyc","13167","3ECDD83EC930C3696C7B0CCD30A348AC3DC78E660CCC2E8951390BEEA90D02CE","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/inference.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\inference.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\inference.cpython-310.pyc","10139","76EDAA829E645B9A6FF9DE9D73B41AF843B7E3054ECEBD162802735417CBA50B","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/inference.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\inference.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\inference.cpython-311.pyc","18109","F6F5C48CD54A72C46105145774B95027B2E731A68137A824C6529D04E3665C2F","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/inference.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\inference.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\inference.cpython-312.pyc","15589","C6FAAE6D091EE690638E1D331C3EE8733DF344B5D7FA4748413D5E38F26BC1C4","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/loss.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\loss.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\loss.cpython-310.pyc","1940","BCF51D0DA0294F1E3A9ED411DBB9F5CE0213C6B51137867EFC3165D68553517F","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/loss.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\loss.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\loss.cpython-311.pyc","3186","2E0340FE1743F9E4351569B7A396F04F0AD91660B1411D1D2BFE177584B2825E","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/loss.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\loss.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\loss.cpython-312.pyc","3098","DF8A59E3444101B5BB57EA3FC4C72DF244EC9669C506F67BD48D377855B78BA7","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/loss.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\loss.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\loss.cpython-313.pyc","3003","E522D48B281C26DB2E0601D1B5D3549E79DAAB7EE86C9B759D7BC3737EC4F449","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/model.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\model.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\model.cpython-310.pyc","12579","6BD9EE956A24E1E33624A98CE8DBA9A11AFB83D38CA83B38AF46066CB7282465","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/model.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\model.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\model.cpython-311.pyc","23073","A27A9E41B5D12235008A24899DB6A54C0E75DAACCB5AD28EB634E38E9C001C14","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/model.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\model.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\model.cpython-312.pyc","19891","C9FC8EE568A6C23722391EC2925EB1F53CCBEB0350CF46B96CCCAFD707AFE848","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/model.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\model.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\model.cpython-313.pyc","16184","64C95C94A5009F2682C182C48DAB00F54EF2891922473B62CECD57B393D2A2AC","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/notebook_pipeline.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\notebook_pipeline.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\notebook_pipeline.cpython-310.pyc","17869","31AFFEE0A581D9B514B88B31D7E6105F777F344027EFEF273CF116772FCF237C","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/notebook_pipeline.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\notebook_pipeline.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\notebook_pipeline.cpython-311.pyc","34301","714F87FD8ADF8F8DD9C79D4A7F262817D9A501BEE36CF7B4C470799D4C2DF551","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/notebook_pipeline.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\notebook_pipeline.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\notebook_pipeline.cpython-312.pyc","29439","DA7D040DB04C0339448D80A1B42E49CBDF446C959B4E53444F2D1E90D859FB88","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/parallel_training.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\parallel_training.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\parallel_training.cpython-310.pyc","7286","3533DD718A057427B1FF4F26D89C995E485EDC43013FF31F2F96CD9CD9697BCD","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/parallel_training.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\parallel_training.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\parallel_training.cpython-311.pyc","14770","600BC59124E576FE8E3C02D5ED9BB7FE2B68AB250812BECF07B953749B196303","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/parallel_training.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\parallel_training.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\parallel_training.cpython-312.pyc","12244","50918222AEADDC13BAD7DEB78CA1D8886EAE84214C21D5C53C4654031141FA14","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/parallel_training.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\parallel_training.cpython-313.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\parallel_training.cpython-313.pyc","11098","3646DDA7B9B13FEEB439E0B067926CDAA25ADD6EFFFAF335C5F6899462A4FB3E","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/train_head.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\train_head.cpython-310.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\train_head.cpython-310.pyc","5760","42F38BA4676B4D96B9B1EDB7064293D6BE98EA85B2892F0E333B722962185E5E","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/train_head.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\train_head.cpython-311.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\train_head.cpython-311.pyc","11030","40B2A2D7911BDD399587E71B4245DC14E5F51EDD855C6F4613A438906116C55A","Independent VAD package including Python bytecode and notebook autosaves"
"vad_downstream/__pycache__/train_head.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec\vad_downstream\__pycache__\train_head.cpython-312.pyc","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\vad_downstream\__pycache__\train_head.cpython-312.pyc","9913","00700ACDAD5A7BFA58A73C9030760B3AA6466C2FB94F52FAEA83027D3A94159F","Independent VAD package including Python bytecode and notebook autosaves"
